Timestamp,Gender,Age,Location,Education,Employment status,Monthly income,Married or not,Type of banking account,Starting year ,Types of services,Frequency of usage,Way of withdrawing money,Amount withdrawn,Distance to bank from home,Distance to bank from work place,Rating in terms of cost,Rating in terms of time saving,Rating in terms of time of use,Rating in terms of physical security,Rating in terms of security (electronic)
2020/11/15 6:10:20 PM GMT+5:30,Male,15-29 years old,Nugegoda ,Master’s degree,Employed – full time [40 + hours a week],"Above 100,000",No,Savings account,Between 2016-2020,"Bill payment;Fund transfer;Purchasing;Cash withdrawal;Balance inquiry / Bank statement;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Daily-once,ATM machine,Between 1000-5000,1 to 2 km,Less than 1km,Average,Good,Good,Good,Good
2020/11/15 6:12:32 PM GMT+5:30,Male,15-29 years old,Gothatuwa ,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 20,000-50,000",No,Savings account,2020,Cash withdrawal;Balance inquiry / Bank statement,Occasionally [less than once a month],ATM machine,Between 5000-10000,1 to 2 km,1 to 2 km,Very Good,Very Good,Very Good,Very Good,Good
2020/11/15 6:12:39 PM GMT+5:30,Female,30-44 years old,Galle,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 50,000-100,000",Yes,Savings account,Between 2016-2020,"Bill payment;Fund transfer;Cash withdrawal;Balance inquiry / Bank statement;Periodical payments [daily, weekly, monthly, quarterly, yearly, seasonal]",Weekly-several times,ATM machine,Between 1000-5000,2 to 5 km,2 to 5 km,Good,Very Good,Very Good,Very Good,Very Good
2020/11/15 6:49:10 PM GMT+5:30,Male,15-29 years old,Eheliyagoda,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 50,000-100,000",Yes,Savings account,Between 2016-2020,Bill payment;Purchasing,Weekly-once,ATM machine,Between 1000-5000,1 to 2 km,2 to 5 km,Good,Very Good,Good,Good,Very Good
2020/11/15 8:20:37 PM GMT+5:30,Male,30-44 years old,Kolonnawa,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 20,000-50,000",No,Savings account,Between 2010-2015,Fund transfer,Monthly-several times,ATM machine,Between 1000-5000,Less than 1km,1 to 2 km,Good,Very Good,Very Good,Good,Average
2020/11/15 8:21:49 PM GMT+5:30,Female,15-29 years old,Malabe ,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 20,000-50,000",No,Savings account,Between 2016-2020,Bill payment;Purchasing;Balance inquiry / Bank statement,Monthly-several times,ATM machine,More than 10000,1 to 2 km,1 to 2 km,Good,Good,Good,Average,Average
2020/11/16 9:05:12 AM GMT+5:30,Male,15-29 years old,Piliyandala,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 50,000-100,000",Yes,Savings account,Between 2016-2020,Bill payment;Purchasing;Balance inquiry / Bank statement,Monthly-several times,ATM machine,Between 5000-10000,2 to 5 km,1 to 2 km,Bad,Very Good,Very Good,Very Good,Good
2020/11/16 9:16:08 AM GMT+5:30,Female,15-29 years old,Kandy ,Bachelor’s degree,Employed – full time [40 + hours a week],"Between 50,000-100,000",No,Savings account,Between 2016-2020,Bill payment;Fund transfer;Balance inquiry / Bank statement,Weekly-several times,ATM machine,Between 1000-5000,2 to 5 km,Less than 1km,Average,Average,Average,Average,Average
2020/11/16 9:29:40 AM GMT+5:30,Female,15-29 years old,Piliyandala,Bachelor’s degree,Employed – part time [less than 40 hours a week],"Between 20,000-50,000",Yes,Savings account,2020,Bill payment;Fund transfer;Cash withdrawal;Balance inquiry / Bank statement,Weekly-once,ATM machine,Between 1000-5000,1 to 2 km,2 to 5 km,Average,Very Good,Very Good,Very Good,Average
2020/11/16 9:47:37 AM GMT+5:30,Female,15-29 years old,Hanwella ,Diploma/ Higher diploma,Employed – full time [40 + hours a week],"Between 20,000-50,000",No,Savings account,Between 2016-2020,Bill payment;Fund transfer;Purchasing;Balance inquiry / Bank statement,Monthly-several times,ATM machine,Between 1000-5000,2 to 5 km,2 to 5 km,Very Good,Very Good,Very Good,Very Good,Very Good
